	Common Settings,	,,,,
"16","16.41952","0.0749792084097862","-1.12101864249703E-11","0.094735","-3.92644539104481E-09"
"17","17.48887728","0.0799799114465714","-1.08767057860337E-11","0.101055","-3.94007715343037E-09"
"18","18.55822744","0.0849773436784744","-1.15506172335134E-11","0.10737","-3.93294818934464E-09"
"19","19.6275597","0.0899792984127998","-1.15089361651943E-11","0.113685","-3.92693610962169E-09"
"20","20.69691296","0.0949772670865059","-1.08697642900446E-11","0.12","-3.91794507947907E-09"
"21","21.766265","0.0999784767627716","-1.04945939091716E-11","0.126315","-3.91889143358526E-09"
"22","22.83563528","0.104976803064346","-1.07308051333632E-11","0.13263","-3.92140675486985E-09"
"23","23.90497418","0.109975904226303","-1.20577853257586E-11","0.138945","-3.91958199230658E-09"
"24","24.9743287","0.114975683391094","-1.09183955279701E-11","0.145265","-3.93517751717809E-09"
"25","26.04368658","0.119977153837681","-1.10712359419063E-11","0.15158","-3.93540533494274E-09"
"26","27.11305844","0.124978095293045","-1.10295479346934E-11","0.157895","-3.9355114722639E-09"
"27","28.18238832","0.129979088902473","-1.14394535510876E-11","0.16421","-3.91172738645196E-09"
"28","29.25173822","0.134976029396057","-1.07446967989588E-11","0.170525","-3.92697829809663E-09"
"29","30.3210999","0.139975160360336","-1.0508486442129E-11","0.17684","-3.92544219351976E-09"
"30","31.3904492","0.144975796341896","-1.12518657585658E-11","0.18316","-3.9200700463482E-09"
"31","32.45978142","0.149974256753922","-1.11823970222469E-11","0.189475","-3.92003718374667E-09"
"32","33.52913582","0.154974654316902","-1.1015655401736E-11","0.19579","-3.92450072439487E-09"
"33","34.59850426","0.159973442554474","-1.09461797265231E-11","0.202105","-3.89559007274443E-09"
"34","35.6678511","0.16497614979744","-1.12588141934489E-11","0.20842","-3.9110528149422E-09"
"35","36.7372006","0.169974133372307","-1.08628089162677E-11","0.21475","-3.93011001520449E-09"
"36","37.80655842","0.174973532557487","-1.10295540062255E-11","0.22105","-3.90151511098225E-09"
"37","38.87591656","0.179973781108856","-1.09392338937253E-11","0.22735","-3.9044345534478E-09"
"38","39.94527558","0.184975206851959","-1.02027908691071E-11","0.2337","-3.89989374127708E-09"
"39","41.01461674","0.189978182315826","-1.04320649341183E-11","0.24","-3.90415300088875E-09"
"40","42.08396948","0.194978401064873","-1.0425120836044E-11","0.2463","-3.8835015203631E-09"
"41","43.15330706","0.199979186058044","-1.12379766950554E-11","0.25265","-3.88960685882012E-09"
"42","44.2226602","0.204976558685303","-1.02097427734371E-11","0.25895","-3.88673226936476E-09"
"43","45.29200514","0.209977895021439","-1.027226654432E-11","0.26525","-3.87980314542347E-09"
"44","46.36136226","0.214997261762619","-1.08002782064909E-11","0.2716","-3.87605680884917E-09"
"45","47.43072064","0.219976544380188","-1.09183877217145E-11","0.2779","-3.87946830215924E-09"
