SourceMeter Model:,2450
SourceMeter S/N:,01419952
SourceMeter Firmware:,1.6.3d

TEST_PARAM.terminals:,FRONT TERMINALS

TEST_PARAM.initial_voc:,1.2920730114
TEST_PARAM.vcutoff:,1

TEST_PARAM.discharge_type:,CONSTANT
TEST_PARAM.discharge_current:,0.025
TEST_PARAM.max_discharge_current:,0.025

TEST_PARAM.measure_interval:,60

TEST_PARAM.discharge_start_time:,10/11/17 08:31:09
TEST_PARAM.discharge_stop_time:,10/13/17 21:06:22

BATT_MODEL_RAW:,Index,Timestamp,Voc,Vload,ESR
BATT_MODEL_RAW:,1,0.03480016,1.2918889523,1.2912018299,0.027484893799
BATT_MODEL_RAW:,2,60.03947206,1.2910237312,1.2903308868,0.027713775635
BATT_MODEL_RAW:,3,120.04379526,1.2905182838,1.2898242474,0.027761459351
BATT_MODEL_RAW:,4,180.04772836,1.2900674343,1.2893733978,0.027761459351
BATT_MODEL_RAW:,5,240.05179148,1.2896428108,1.2889473438,0.02781867981
BATT_MODEL_RAW:,6,300.05588076,1.2892360687,1.2885401249,0.027837753296
BATT_MODEL_RAW:,7,360.05989924,1.2888395786,1.2881424427,0.027885437012
BATT_MODEL_RAW:,8,420.06403832,1.2884528637,1.2877557278,0.027885437012
BATT_MODEL_RAW:,9,480.06810012,1.2880728245,1.2873752117,0.027904510498
BATT_MODEL_RAW:,10,540.07213216,1.2876989841,1.287001133,0.027914047241
BATT_MODEL_RAW:,11,600.07570624,1.2873294353,1.2866327763,0.027866363525
BATT_MODEL_RAW:,12,660.0813275,1.286965847,1.2862679958,0.027914047241
BATT_MODEL_RAW:,13,720.08548214,1.2866077423,1.2859079838,0.027990341187
BATT_MODEL_RAW:,14,780.08960138,1.286252737,1.2855539322,0.027952194214
BATT_MODEL_RAW:,15,840.09373268,1.2859013081,1.2852025032,0.027952194214
BATT_MODEL_RAW:,16,900.09417664,1.285556078,1.2848558426,0.028009414673
BATT_MODEL_RAW:,17,960.09832906,1.2852113247,1.2845122814,0.027961730957
BATT_MODEL_RAW:,18,1020.1041703,1.2848725319,1.2841722965,0.028009414673
BATT_MODEL_RAW:,19,1080.1096173,1.2845377922,1.2838380337,0.027990341187
BATT_MODEL_RAW:,20,1140.1144461,1.2842037678,1.2835044861,0.0279712677
BATT_MODEL_RAW:,21,1200.1204595,1.2838757038,1.2831745148,0.028047561646
BATT_MODEL_RAW:,22,1260.1258745,1.2835488319,1.282848835,0.02799987793
BATT_MODEL_RAW:,23,1320.1300125,1.2832267284,1.2825267315,0.02799987793
BATT_MODEL_RAW:,24,1380.1344348,1.2829082012,1.2822079659,0.028009414673
BATT_MODEL_RAW:,25,1440.1392162,1.2825906277,1.2818906307,0.02799987793
BATT_MODEL_RAW:,26,1500.1446336,1.2822775841,1.2815771103,0.028018951416
BATT_MODEL_RAW:,27,1560.1496307,1.2819662094,1.281265974,0.028009414673
BATT_MODEL_RAW:,28,1620.1550446,1.28166008,1.2809596062,0.028018951416
